winery	variety
Nicosia	White Blend
Quinta dos Avidagos	Portuguese Red
Rainstorm	Pinot Gris
St. Julian	Riesling
Sweet Cheeks	Pinot Noir
Tandem	Tempranillo-Merlot
Terre di Giurfo	Frappato
Trimbach	Gewürztraminer
Heinz Eifel	Gewürztraminer
Jean-Baptiste Adam	Pinot Gris
Kirkland Signature	Cabernet Sauvignon
Leon Beyer	Gewürztraminer
Louis M. Martini	Cabernet Sauvignon
Masseria Setteporte	Nerello Mascalese
Mirassou	Chardonnay
Richard Böcking	Riesling
Felix Lavaque	Malbec
Gaucho Andino	Malbec
Pradorey	Tempranillo Blend
Quiévremont	Meritage
Quiévremont	Red Blend
Acrobat	Pinot Noir
Baglio di Pianetto	White Blend
Bianchi	Merlot
Canicattì	Nero d'Avola
Castello di Amorosa	Pinot Noir
Stemmari	White Blend
Stemmari	Nero d'Avola
Terre di Giurfo	Red Blend
Clarksburg Wine Company	Chenin Blanc
Domaine de la Madone	Gamay
Duca di Salaparuta	Red Blend
Duca di Salaparuta	White Blend
Envolve	Red Blend
Envolve	Sauvignon Blanc
Erath	Pinot Noir
Estampa	Viognier-Chardonnay
Feudi del Pisciotto	Cabernet Sauvignon
Feudi di San Marzano	Primitivo
Feudo di Santa Tresa	Nero d'Avola
Feudo Montoni	Catarratto
Hawkins Cellars	Pinot Noir
Henry Fessy	Gamay
Robert Hall	Sauvignon Blanc
Sundance	Merlot
Tarara	Red Blend
Tasca d'Almerita	Inzolia
The White Knight	Riesling
Trump	Sauvignon Blanc
Vignerons de Bel Air	Gamay
Viticultori Associati Canicatti	Red Blend
Casa Silva	Petit Verdot
Cantine di Dolianova	Monica
Château de Sours	Bordeaux-style White Blend
Corvo	Red Blend
RustRidge	Chardonnay
Souverain	Chardonnay
Tasca d'Almerita	Grillo
Tres Palacios	Pinot Noir
Mellisoni	Malbec
Okapi	Cabernet Sauvignon
Podere dal Nespoli	Sangiovese
Ram	Cabernet Franc
Roland Champion	Champagne Blend
Sevtap	Sauvignon Blanc
Simonnet-Febvre	Chardonnay
Vignerons des Terres Secrètes	Chardonnay
Basel Cellars	Bordeaux-style Red Blend
Cocobon	Red Blend
Collet	Champagne Blend
Drumheller	Chardonnay
Eco Terreno	Cabernet Sauvignon
Grifalco	Aglianico
Hindsight	Cabernet Sauvignon
Hindsight	Petite Sirah
Mulvane Wine Co.	Bordeaux-style Red Blend
Schmitt Söhne	Riesling
Yalumba	Chardonnay
Z'IVO	Pinot Noir
Adega Cooperativa do Cartaxo	Touriga Nacional
Aresti	Carmenère
Spyro	Albariño
Lionel Osmin & Cie	Petit Manseng
Mitolo	Rosé
Napa Cellars	Zinfandel
P.J. Valckenberg	Riesling
Palencia	Albariño
Passaggio	Merlot
Poggio Alloro	Vernaccia
Fattoria Sardi	Rosato
Ferrari-Carano	Red Blend
Folie à Deux	Pinot Gris
Franciscan	Meritage
Fuchs	Grüner Veltliner
Gård	Viognier
Henry Fessy	Gamay
Henry Fessy	Gamay
Heron Hill	Riesling
Serpaia di Endrizzi	Sangiovese
Soquel Vineyards	Bordeaux-style Red Blend
Ventosa	Pinot Gris
Lamoreaux Landing	Riesling
Lamoreaux Landing	Riesling
Leyda	Chardonnay
Madonna Alta	Red Blend
Marchesi Antinori	White Blend
Marchesi de' Frescobaldi	Red Blend
Marchesi de' Frescobaldi	Vermentino
Martin Ranch	Zinfandel
Ornellaia	Red Blend
Pardon et Fils	Gamay
Piña	Cabernet Sauvignon
Podere Ciona	Red Blend
Poggioventoso	White Blend
Pull	Bordeaux-style Red Blend
Pull	Chardonnay
R2	Grenache Blanc
Rideau	Syrah
Tenuta Forconi	Red Blend
Dopff & Irion	Riesling
Ceretto	Nebbiolo
Matrix	Chardonnay
Mauritson	Zinfandel
Henry's Drive Vignerons	Shiraz-Cabernet Sauvignon
Silverado	Cabernet Sauvignon
Le Riche	Cabernet Sauvignon
Pierre Sparr	Gewürztraminer
Pierre Sparr	White Blend
Kuentz-Bas	Pinot Blanc
Camberley	Bordeaux-style Red Blend
Ceretto	Nebbiolo
Dopff & Irion	Alsace white blend
Delheim	Cabernet Sauvignon
Poderi Luigi Einaudi	Nebbiolo
Clark-Clauden	Cabernet Sauvignon
Giacomo Ascheri	Nebbiolo
Lassègue	Bordeaux-style Red Blend
Beaumont	Chenin Blanc
Dopff & Irion	Alsace white blend
Kuentz-Bas	Pinot Gris
Poderi Colla	Barbera
Giacomo Ascheri	Nebbiolo
Banyan	Riesling
Domaine Zind-Humbrecht	Pinot Gris
Terra Valentine	Cabernet Sauvignon
Testarossa	Pinot Noir
Vincent Vineyards	Cabernet Sauvignon
Vincent Vineyards	Cabernet Sauvignon
Weingut Liebfrauenstift	Riesling
Wrath	Rhône-style Red Blend
Yardstick	Cabernet Sauvignon
Herdade Grande	Portuguese White
Albatross Ridge	Pinot Noir
Alta Colina	Syrah
Marques de Griñon	Graciano
Big Basin	Syrah
Carl Graff	Riesling
Casa Santa Vitória	Portuguese Red
Castello di Gabbiano	Sangiovese
Castello Romitorio	Sangiovese
Château Vincens	Malbec
Chronic Cellars	Red Blend
Claiborne & Churchill	Riesling
Collin-Bourisset	Gamay
Conde de Velázquez	Red Blend
Cono Sur	Cabernet Sauvignon
Domaine Berthoumieu	Tannat-Cabernet
Dracaena	Cabernet Franc
Duckhorn	Merlot
Dutton-Goldfield	Pinot Noir
Fritz Haag	Riesling
Fritz Haag	Riesling
G7	Cabernet Sauvignon
Le Cadeau	Pinot Noir
Stoneleigh	Sauvignon Blanc
Tenuta Peter Sölva & Söhne	Sauvignon
TerraMater	Red Blend
Isole e Olena	Sangiovese
Kenwood	Syrah
La Chablisienne	Chardonnay
Manzoni	Chardonnay
McIntyre Vineyards	Pinot Noir
Abbadia Ardenga	Sangiovese Grosso
Alamos	Torrontés
Anaba	Chardonnay
Apaltagua	Carmenère
Harrington	Pinot Noir
Abbazia Santa Anastasia	Red Blend
Viña Bisquertt	Merlot
Emiliana	Chardonnay
Fattoria Alois	Red Blend
Henry's Drive Vignerons	Cabernet Sauvignon
Aldegheri	Red Blend
Bertrand Ambroise	Chardonnay
Campomaggio	Sangiovese
Carpineto	Prugnolo Gentile
Cesani	Vernaccia
Spier	Chenin Blanc
Sequum	Cabernet Sauvignon
Sierra Starr	Cabernet Franc
Tenuta di Sesta	Sangiovese
Terlan	White Blend
Yatir	Syrah
Adega Cooperativa de Borba	Portuguese Red
J. Lohr	G-S-M
J. Lohr	Chardonnay
Courtney Benham	Cabernet Sauvignon
Del Carlo Winery	Zinfandel
Delaire Graff	White Blend
Domaine St Pierre	Rhône-style Red Blend
Eikendal	Chardonnay
Famille Perrin	Rhône-style Red Blend
Matarromera	Verdejo
MCV	Red Blend
Mounts	Rhône-style Red Blend
Or Haganuz	Bordeaux-style Red Blend
Podere Scopetone	Sangiovese
Quinta de Foz de Arouce	Portuguese Red
Robert Mondavi	Fumé Blanc
Samuel Tinon	Furmint
Sixteen by Twenty	Chardonnay
St. Pauls	Pinot Bianco
Talenti	Sangiovese
Terlan	Pinot Bianco
Mendel	Malbec
Oldenburg	Chardonnay
Oldenburg	Chenin Blanc
Wagner	Pinot Noir
Treleaven	Riesling
Benessere	Red Blend
Bloomer Creek	Gewürztraminer
Andean Sky	Bonarda
Angove's	Shiraz
Silvan Ridge	Pinot Noir
Talamonti	Montepulciano
Testarossa	Syrah
Meeker	Cabernet Sauvignon
Consorzio Vini Tipici di San Marino	Moscato
D'Arenberg	Grenache
Dogwood	Cabernet Sauvignon
Domaine du Tariquet	Ugni Blanc-Colombard
Falcor	Sangiovese
Hayman & Hill	Chardonnay
Hermann J. Wiemer	Chardonnay
J. & F. Lurton	Red Blend
Finca Las Moras	Chardonnay
Long Flat	Sauvignon Blanc
Work	Merlot
Amity	Pinot Noir
Autumn Hill	Bordeaux-style Red Blend
Blue Rock	Cabernet Sauvignon
Cherry Hill	Pinot Noir
Cloud 9	Zinfandel
Cueva de las Manos	Malbec
David Fulton	Petite Sirah
Esterlina	Pinot Noir
Goats do Roam Wine Co.	Syrah-Viognier
Graham Beck	Red Blend
Hartenberg	Cabernet Sauvignon
Vignobles 46N118	Malbec
Willamette Valley Vineyards	Pinot Noir
Algodon	Red Blend
Beaver Creek	Red Blend
Byron	Pinot Noir
Jardin	Syrah
Jardin	Chardonnay
Kaiken	Red Blend
Lungarotti	White Blend
Marchesi Fumanelli	White Blend
Mariell	Blaufränkisch
Livio Felluga	Friulano
My Big Fat Greek Wine	Assyrtico
Nals Margreid	Pinot Bianco
O. Fournier	Red Blend
Pico Maccario	White Blend
Sottano	Cabernet Sauvignon
St. Francis	Zinfandel
Trailhead	Cabernet Sauvignon
Erath	Pinot Noir
Franz Haas	Sauvignon
Forstreiter	Grüner Veltliner
Cambria	Pinot Noir
I Giusti e Zanza	Red Blend
J. Christopher	Pinot Noir
Viña Cobos	Malbec
Salomon-Undhof	Riesling
Talley	Pinot Noir
Acústic	Carignan-Grenache
Josef Schmid	Grüner Veltliner
Parallel	Cabernet Sauvignon
Château Lafon-Rochet	Bordeaux-style Red Blend
Dionigi	Sagrantino
Domaine Daniel Dugois	Savagnin
Kilikanoon	Shiraz
Finca Sophenia	Malbec
Treana	Cabernet Sauvignon-Syrah
Ventisquero	Cabernet Sauvignon
Aquinas	Cabernet Sauvignon
Arboleda	Cabernet Sauvignon
Attilio Ghisolfi	Red Blend
Benessere	Sangiovese
Buried Cane	Chardonnay
Cantina del Nebbiolo	Nebbiolo
Cascina Adelaide	Nebbiolo
Cascina La Ghersa	Barbera
Claudia Springs	Zinfandel
Cramele Recas	Chardonnay
Domaine Bertagna	Pinot Noir
Domaine Sigalas	White Blend
Socré	Nebbiolo
Boffa	Nebbiolo
Otto's Constant Dream	Syrah
Mount Veeder	Cabernet Sauvignon
Rabino	Nebbiolo
Robert Mondavi	Cabernet Sauvignon
Bellussi	Prosecco
Château Mont-Pérat	Bordeaux-style White Blend
Château Tour de Mirambeau	Bordeaux-style White Blend
Aresti	Merlot
Paladin	Prosecco
Perlage	Prosecco
Sant Eurosia	Prosecco
Sant Eurosia	Prosecco
J. & F. Lurton	Cabernet Sauvignon
L'Antica Quercia	Prosecco
Lucas Vineyards	Vignoles
Marsuret	Prosecco
De Martino	Chardonnay
Beringer	White Blend
Brutocao	Zinfandel
Clos La Chance	Red Blend
Cono Sur	Gewürztraminer
Sommariva	Prosecco
Spagnol	Prosecco
Jacquart	Champagne Blend
L'Antica Quercia	Prosecco
Koyle	Pinot Noir
Château Notre Dame du Quatourze	Rosé
Mémoires	Rosé
Cavas Hill	Sparkling Blend
Antoine Moltès & Fils	Pinot Gris
Pezzi King	Zinfandel
Bellisco	Sparkling Blend
Pura 8	Pinot Noir
Viña Tarapacá	Chardonnay
Chambers Rosewood Vineyards	Muscat
Chambers Rosewood Vineyards	Muscadelle
Robert Weil	Riesling
Chambers Rosewood Vineyards	Muscat
Torbreck	Shiraz-Viognier
Cavallotto	Nebbiolo
Oremus	Furmint
Rochioli	Chardonnay
Louis Latour	Chardonnay
Robert Weil	Riesling
Rochioli	Chardonnay
Jasper Hill	Shiraz
Château de la Tour	Pinot Noir
Weingut Hans Bausch	Riesling
Philippe Colin	Chardonnay
Torbreck	Shiraz-Viognier
Bel Colle	Nebbiolo
J. Davies	Cabernet Sauvignon
Louis Latour	Chardonnay
Winderlea	Pinot Noir
Wakefield	Shiraz
Cantina Terlano	Pinot Bianco
De Martino	Carmenère
Montresor	Garganega
Ronco del Gelso	Chardonnay
Sebastiani	Cabernet Sauvignon
Elena Walch	Sauvignon Blanc
Gini	White Blend
Borgo Conventi	Sauvignon Blanc
Ceago Vinegarden	Sauvignon Blanc
Valiano	Sangiovese
Volpe Pasini	Pinot Grigio
Zenato	White Blend
L.A. Cetto	Nebbiolo
La Vis	White Blend
Lapostolle	Merlot
Fratelli Zeni	White Blend
Carmen	Cabernet Sauvignon
Tommasi	Chardonnay
San Michele Eppan	Gewürztraminer
Vinoce	Sauvignon Blanc
Merriam	Merlot
Murphy-Goode	Sauvignon Blanc
Kynsi	Pinot Noir
Cantina Terlano	White Blend
Casa Julia	Cabernet Sauvignon
Valdivieso	Chardonnay
Bridlewood	Sauvignon Blanc
San Pedro	Chardonnay
Undurraga	Merlot
Conti Formentini	White Blend
Cline	Zinfandel
Cono Sur	Pinot Noir
Aresti	Sauvignon Blanc
Astoria	Prosecco
Cantine Maschio	Prosecco
Val d'Oca	Prosecco
Viña Bisquertt	Syrah
Vinavanti	Red Blend
Vino V	Syrah
Viticoltori Ponte	Prosecco
Jacquart	Champagne Blend
Lapostolle	Chardonnay
Le Vigne di Alice	Prosecco
McGregor	Gewürztraminer
Miles	Cabernet Franc
Morro Bay	Cabernet Sauvignon
Perlage	Prosecco
Pizzolato	Prosecco
Pizzolato	Prosecco
Red Newt Cellars	Riesling
Ca'Tullio	Prosecco
Pizzolato	Prosecco
Michlits	Red Blend
Château de Callac	Bordeaux-style Red Blend
Château de Marsan	Bordeaux-style White Blend
Guardian	Merlot
Kerloo	Grenache Blanc
Kohl	Grüner Veltliner
Las Positas	White Blend
Lieb	Rosé
Luberri	Tempranillo
Macari	Sparkling Blend
Malat	Grüner Veltliner
Milbrandt	Syrah
Ojai	Sauvignon Blanc
ONX	Tempranillo
Pomum	Riesling
Prospect 772	Grenache Blanc
Revello Fratelli	Nebbiolo
Gebeshuber	Zierfandler
Tenuta La Marchesa	Cortese
Trione	Bordeaux-style Red Blend
Vinos de Arganza	Mencía
Vinos de Arganza	Mencía
Walla Walla Vintners	Cabernet Sauvignon
Winzer Krems	Zweigelt
Wölffer	Cabernet Franc
Dunbar	Zinfandel
Eschenhof Holzer	Grüner Veltliner
Fattorie Romeo del Castello	Nerello Mascalese
Flying Cloud	Cabernet Sauvignon
Gadais Père et Fils	Melon
André Brunel	Rhône-style White Blend
Majolini	Chardonnay
Montaudon	Champagne Blend
Montemercurio	Sangiovese
Patrick Javillier	Chardonnay
Philippe Fontaine	Champagne Blend
Pillitteri	Vidal
Robert Mondavi	Chardonnay
Roederer Estate	Sparkling Blend
Rusack	Pinot Noir
Bellavista	Sparkling Blend
Chanoine	Champagne Blend
Chehalem	Pinot Noir
Chehalem	Pinot Blanc
Henri de Villamont	Chardonnay
Vollereaux	Champagne Blend
Wittmann	Riesling
Valentina Cubi	Red Blend
Deutz	Chardonnay
Domaine Serene	Pinot Noir
Dr. Loosen	Riesling
Dr. Loosen	Riesling
H. Blin	Champagne Blend
Henri de Villamont	Pinot Noir
Henri de Villamont	Pinot Noir
Herdade Grande	Portuguese Red
Jeaunaux-Robin	Champagne Blend
Bell	Cabernet Sauvignon
Castello di Amorosa	Red Blend
Château Vray Croix de Gay	Bordeaux-style Red Blend
Dampierre	Champagne Blend
Santa Maria La Palma	Cannonau
Sparkman	Bordeaux-style Red Blend
Argiolas	Cannonau
Babcock	Pinot Noir
Cape View	Chenin Blanc
Ken Forrester	Chenin Blanc
Louis Bernard	Rhône-style Red Blend
Lyeth	Cabernet Sauvignon
Marco Cecchini	White Blend
Vigneti Le Monde	Pinot Grigio
Vigneti Le Monde	Sauvignon
V&N; Cellars	Sparkling Blend
Winzer Krems	Grüner Veltliner
Zerba Cellars	Sangiovese
Insania	Red Blend
Knapp	Chardonnay
Lava Cap	Chardonnay
Loess	Verdejo
MICA Cellars	Cabernet Franc
Michael Pozzan	Pinot Noir
Domaine du Grand Cros	Rosé
El Coto	Rosé
Fenestra	Verdelho
Gunter Triebaumer	Moscato
Hanna	Sauvignon Blanc
Alain Jaume et Fils	Rhône-style Red Blend
Aleo	Tempranillo
Altùris	White Blend
Camaraderie	Syrah
Camaraderie	Tempranillo
Beringer	Red Blend
Big Basin	Chardonnay
Boude Baudin	Champagne Blend
Boude Baudin	Champagne Blend
Conn Creek	Cabernet Sauvignon
Cono Sur	Merlot
D.R. Stephens	Pinot Noir
Davis Family	Pinot Noir
Davis Family	Pinot Noir
Domaine Jeannin-Naltet	Pinot Noir
Prospect 772	Grenache
Qupé	Marsanne
Qupé	Grenache
Rex Hill	Pinot Noir
Ruby	Pinot Noir
Structure	Syrah
Testarossa	Chardonnay
Tumwater	Pinot Noir
Wittmann	Scheurebe
Jeaunaux-Robin	Champagne Blend
Joseph Jewell	Pinot Noir
Lapostolle	Syrah
Le Cadeau	Sparkling Blend
Le Cadeau	Pinot Noir
Le Cadeau	Pinot Noir
Le Vigne	Cabernet Sauvignon
Maximin Grünhäuser	Riesling
Northstar	Bordeaux-style Red Blend
Padis	Cabernet Sauvignon
Paul O'Brien	Pinot Noir
Claiborne & Churchill	Pinot Noir
Flying Goat Cellars	Pinot Noir
Flying Goat Cellars	Pinot Noir
Abbazia di Novacella	Kerner
Midsummer Cellars	Cabernet Sauvignon
ONX	Red Blend
Les Belles Collines	Cabernet Sauvignon
Lutum	Chardonnay
Turiya	Sangiovese
Iron Horse	Pinot Noir
Brandini	Nebbiolo
Artesa	Chardonnay
Carlisle	Zinfandel
Château Vignelaure	Rosé
Clos d'Argentine	Malbec
Mas de Cadenet	Rosé
Passing Time	Cabernet Sauvignon
Resalte	Tempranillo
Sanctuary	Pinot Noir
Terre Rouge	White Blend
Limerick Lane	Syrah-Grenache
Limerick Lane	Syrah
Loring Wine Company	Pinot Noir
Eighty Four	Petite Sirah
Flying Goat Cellars	Pinot Noir
Four Lanterns	Syrah
Turiya	Red Blend
World's End	Cabernet Sauvignon
Benegas	Malbec
W.H. Smith	Cabernet Sauvignon
Alleromb	Chardonnay
Ardor	Syrah
Berryessa Gap	Albariño
Brezza	Dolcetto
Château Bois Chantant	Bordeaux-style Red Blend
Château de Campuget	Rosé
Château de l'Aubrade	Bordeaux-style Red Blend
Château de Pressac	Bordeaux-style Red Blend
Chateau Lafayette Reneau	Rosé
Château Maison Noble Saint Martin	Bordeaux-style Red Blend
Cupcake	Rosé
Raconteur	White Blend
Savage Grace	Gewürztraminer
Seven Falls	Merlot
Silvertip	Pinot Noir
Steininger	Grüner Veltliner
Stevens	Chardonnay
Strauss	Pinot Blanc
Strauss	Sauvignon Blanc
Trinity River	Chardonnay
Umathum	Zweigelt
Vintage Cowboy	Chardonnay
Winzer Krems	Grüner Veltliner
Kontos	Malbec
Landhaus Mayer	Riesling
Lavau	Rhône-style Red Blend
L'Ecole No. 41	Cabernet Sauvignon
Lyrarakis	Vilana
Malat	Riesling
Midnight	Sangiovese
Michael Pozzan	Cabernet Sauvignon
Michele Chiarlo	Cortese
Monte Xanic	Sauvignon Blanc
Paoletti	Cabernet Sauvignon
Peconic Bay Winery	Cabernet Franc
Príncipe de Viana	Red Blend
Proemio	Red Blend
Quady North	Grenache
Quady North	Viognier
Quinta do Portal	Portuguese White
Raptor Ridge	Grüner Veltliner
Rodney Strong	Sauvignon Blanc
Saintsbury	Pinot Noir
Sextant	G-S-M
Solar de Pinheiro	Portuguese White
Suavia	Garganega
Tilia	Malbec
B Cellars	Chardonnay
Bacio della Luna	Glera
Barlow	Merlot
Borgo Maragliano	Chardonnay
Bortolotti	Glera
Claiborne & Churchill	Pinot Noir
Coiled	Red Blend
Coiled	Red Blend
Colter's Creek	Red Blend
Corte Falco	Garganega
Domenico Cavazza	Garganega
Cascina La Ghersa	White Blend
Kangarilla Road	Shiraz
Walt	Pinot Noir
WillaKenzie Estate	Pinot Noir
Willm	Gewürztraminer
Jean-Marc Bernhard	Riesling
Yeringberg	Viognier
Armida	Zinfandel
Marqués de Murrieta	Viura
Torbreck	Shiraz
Biecher & Schaal	Alsace white blend
Domaines Schlumberger	Riesling
Domaines Schlumberger	Pinot Gris
Foxen	Chardonnay
Les Belles Collines	Pinot Gris
Luis Duarte	Portuguese Red
Melhill	Chardonnay
Niner	Cabernet Sauvignon
Purple Hands	Pinot Noir
Quinta da Lagoalva de Cima	Portuguese Red
Quinta do Monte Xisto	Portuguese Red
Reichsgraf von Kesselstatt	Riesling
Stone The Crows	Cabernet Sauvignon
Sturm	Sauvignon
Kuentz-Bas	Riesling
Plantagenet	Riesling
Scratch	Grenache
Sipp Mack	Riesling
St. Amant	Zinfandel
Stoller	Pinot Noir
Fable Mountain	Rhône-style Red Blend
Vine Cliff	Chardonnay
Va Piano	Cabernet Sauvignon
Y Rousseau	Cabernet Sauvignon
Monte Volpe	Pinot Grigio
Palladino	Nebbiolo
Paradise Ridge	Cabernet Sauvignon
Pecchenino	Dolcetto
Poderi Colla	Barbera
Poet's Leap	Riesling
Rafael Cambra	Garnacha Tintorera
Raphael	Riesling
Seven Hills	Malbec
Snoqualmie	Cabernet Sauvignon
Stags' Leap Winery	Petite Sirah
The Grapes of Roth	Riesling
The Withers Winery	Pinot Noir
Truchard	Cabernet Sauvignon
Acacia	Pinot Noir
Array	Chardonnay
Baracchi Riccardo	Syrah
Baracchi Riccardo	Syrah
Barrister	Cabernet Sauvignon
Bodegas Berceo	Tempranillo Blend
Bunnell	Syrah
Castello di Neive	Pinot Nero
Castello di Querceto	Red Blend
Chateau Ste. Michelle	Cabernet Sauvignon
Cobb	Pinot Noir
Comm. G. B. Burlotto	Nebbiolo
